basketId,basketType,lat,lng
20830076,S,40.8869984052,-73.9036821612
10930211,S,40.8338178525,-73.9488347059
10720061,H,40.7825938981,-73.9752530707
10630050,H,40.7571031488,-73.9695467272
10110042,H,40.7112757283,-74.0162835878
10330006,R,40.7206011942,-73.9785021676
10520749,C,40.7561675901,-73.9862174496
31210007,S,40.6310744262,-73.9964414286
31010086,S,40.6377615824,-74.0253195678
30650110,C,40.6669753925,-73.9883435279
41410121,D,40.577514443,-73.8369156712
31010100,D,40.6392257614,-74.0371472467
10520761,C,40.7585758103,-73.9853531955
40330033,S,40.7571400729,-73.8682434912
41420307,D,40.586977625,-73.7974357862
10420027,H,40.7510523351,-73.9945756744
10720184,H,40.783458006,-73.9795520054
20820090,S,40.8801660309,-73.9036411937
50210098,R,40.5868765312,-74.0914919861
10320138,R,40.7150274485,-73.9919395633
31610128,S,40.6560792684,-73.9074704546
10130348,D,40.7129520799,-74.0045381513
40610083,H,40.7261495645,-73.8511127056
41210070,H,40.7048898107,-73.7966931999
40410054,S,40.7394281671,-73.8782833003
10610222,H,40.7383702152,-73.987402967
20730109,S,40.8796955774,-73.8787168508
40910039,S,40.6886375588,-73.8298233462
10330146,R,40.7222827039,-73.9858914419
40810006,S,40.7300889872,-73.778797728
11030017,R,40.8162181235,-73.9433753728
10310079,C,40.7158556228,-73.9995243225
10810262,R,40.7658396356,-73.9577162487
20720036,S,40.8671242092,-73.8960182686
40230060,S,40.7412584113,-73.9214627523
10630188,S,40.7546705072,-73.9734653486
31040041,H,40.6205129864,-74.0074380818
31030054,S,40.622636964,-74.0316130853
30220217,C,40.6874000322,-73.9803850366
10710291,S,40.7693973052,-73.9848628613
10520340,C,40.7607274788,-73.9848027035
30820084,S,40.6763896581,-73.9385499484
31410131,D,40.6516360655,-73.9696909863
30510078,R,40.6783878216,-73.8891054984
21030041,R,40.8393874389,-73.8361817898
11240088,S,40.8664064579,-73.9188323616
10420070,S,40.749698742,-73.998692541
10850010,H,40.782832654,-73.9571320372
21030063,S,40.8339148281,-73.8285588521
31410125,D,40.649908727,-73.9677825363
11210195,S,40.8418454053,-73.9375826342
11010213,H,40.8010155648,-73.9576094924
50130011,R,40.626893257,-74.1252433707
50220115,R,40.5661905882,-74.1006665067
10520643,R,40.7642588988,-73.9775003696
11040032,S,40.8184856994,-73.9379453684
30830116,R,40.6724460772,-73.9306440118
10130051,S,40.7183359002,-74.0086908424
20110234,S,40.814397279,-73.9211258213
41310004,S,40.7516379419,-73.7039556702
10430259,H,40.7642854908,-73.9864132936
50120164,S,40.6348913695,-74.1087216484
21210094,D,40.8752758787,-73.8704689238
30820048,H,40.6775010669,-73.9499615625
30240155,S,40.688079756,-73.9679689023
10220232,S,40.7316545572,-74.007979535
11130042,S,40.8036730474,-73.9381797601
40550005,R,40.7284592951,-73.8905216282
10510566,H,40.7450106407,-73.9876449935
20610182,R,40.8563942383,-73.8810528479
40410024,S,40.7476129631,-73.8827919332
10810244,H,40.7626074387,-73.96556166
40910012,S,40.6860013972,-73.8391806443
20210014,S,40.8223919462,-73.8956090134
30420063,R,40.7017493457,-73.914902354
10130215,S,40.7196056655,-74.0050045609
31870047,S,40.609040758,-73.9320856204
31250072,D,40.6411095262,-73.9734827111
31040054,S,40.6227982699,-74.0050971625
21010079,S,40.8519239367,-73.8273886933
31850021,S,40.6187651726,-73.9266741997
30420043,R,40.7011674956,-73.9143072843
10410176,H,40.740060699,-74.0028460783
11220223,S,40.8502147531,-73.9349137425
30910134,D,40.6694930225,-73.9457751903
30220086,S,40.6839582737,-73.9788770285
